"year","tavg_jan","tavg_feb","tavg_mar","tavg_apr","tavg_may","tavg_jun","tavg_jul","tavg_aug","tavg_sep","tavg_oct","tavg_nov","tavg_dec","tavg_annual","tavg_janfeb","tavg_marmay","tavg_junsep","tavg_octdec","rf_jan","rf_feb","rf_mar","rf_apr","rf_may","rf_jun","rf_jul","rf_aug","rf_sep","rf_oct","rf_nov","rf_dec","rf_annual","rf_janfeb","rf_marmay","rf_junsep","rf_octdec"
"1990","24.36","26.83","28.66","30.43","29.63","30.9","29.48","29.53","28.93","27.42","26.51","25.5","28.18","25.6","29.57","29.71","26.48","84.8","10.2","36.2","24.3","94.9","28.9","40","80.1","119.6","194.1","144","46.1","903.2","95","155.3","268.7","384.2"
"1991","25.5","25.08","26.36","28.24","30.79","31.99","29.8","30.23","29.34","27.97","25.69","24.95","28","25.29","28.46","30.34","26.2","24.2","4.6","9.7","37.4","29.5","128.1","54.7","71.7","114","225.1","234.4","21.4","954.8","28.9","76.6","368.5","480.9"
"1992","23.74","26.09","27.24","29.63","31.24","31.76","30.44","29.05","29.1","27.64","26.06","24.67","28.06","24.92","29.37","30.09","26.12","3.1","0.2","0","22.5","58.3","66.4","77.9","59.9","157.3","123.9","297.2","52.1","918.7","3.3","80.8","361.4","473.2"
"1993","23.95","25.49","28.13","29.82","31.31","30.96","30.37","29.25","28.94","27.23","25.99","24.83","28.02","24.72","29.75","29.88","26.02","0.1","7","9.9","11.2","46.6","68.2","60.3","88.8","96.7","214.5","315.9","163.1","1082.3","7.1","67.7","314","693.5"
"1994","24.67","26.01","27.77","30.34","31.62","31.6","29.82","29.16","29.66","27.53","25.21","24.17","28.13","25.34","29.91","30.06","25.64","7","27.6","5.5","48.3","66.6","38.6","75.3","66.1","84.2","230.6","229.1","27","905.9","34.6","120.5","264.2","486.6"
"1995","24.22","26.07","27.84","30.1","30.36","31.75","29.76","29.01","29.06","27.75","26.72","24.87","28.13","25.15","29.43","29.9","26.45","23.8","3.3","16.7","39.5","139","64.6","86.7","121.1","94","143.1","107.9","3.7","843.4","27.1","195.2","366.4","254.7"
"1996","24.77","26.21","27.59","30.18","32.09","30.07","29.69","29.82","28.5","27.42","26.3","24.74","28.12","25.49","29.95","29.52","26.15","7.6","3.6","5","91.5","34","125.3","55.4","112.4","141.2","149.7","106","237.6","1069.4","11.3","130.5","434.3","493.3"
"1997","24.39","25.57","28.1","29.62","31.52","31.72","31.15","30.79","29.27","27.79","26","26.38","28.52","24.98","29.75","30.73","26.72","7.7","0.2","2.3","42","49.2","50.4","63.5","56.4","116","169.5","258.1","135.2","950.5","7.9","93.5","286.3","562.8"
"1998","26.4","27.39","28.78","30.23","32.33","32.51","30.36","29.19","29.64","27.42","26.68","25.15","28.84","26.9","30.45","30.42","26.42","6.9","5.7","4.1","23.6","55.8","43","101.9","152.9","121.8","124.7","242","197.4","1079.7","12.5","83.6","419.6","564"
"1999","24.84","26.25","28.29","30.5","31.33","31.17","30.99","29.46","29.53","28.03","26.46","24.73","28.47","25.55","30.04","30.29","26.41","8.3","24.1","3.9","56.9","74.5","46.4","55.3","74.8","73.1","268.9","182.8","53.6","922.6","32.3","135.3","249.6","505.3"
